Insti,Nome da Instituição,Location,Tipo de  Ensino
140,Universidade dos Açores - Faculdade de Ciências Agrárias e do Ambiente,Açores,Ensino Superior Público Universitário
150,Universidade dos Açores - Faculdade de Ciências Sociais e Humanas,Açores,Ensino Superior Público Universitário
160,Universidade dos Açores - Faculdade de Ciências e Tecnologia,Açores,Ensino Superior Público Universitário
170,Universidade dos Açores - Faculdade de Economia e Gestão,Açores,Ensino Superior Público Universitário
201,Universidade do Algarve - Faculdade de Ciências Humanas e Sociais,Faro,Ensino Superior Público Universitário
203,Universidade do Algarve - Faculdade de Ciências e Tecnologia,Faro,Ensino Superior Público Universitário
204,Universidade do Algarve - Faculdade de Economia,Faro,Ensino Superior Público Universitário
206,Universidade do Algarve - Faculdade de Medicina e Ciências Biomédicas,Faro,Ensino Superior Público Universitário
300,Universidade de Aveiro,Aveiro,Ensino Superior Público Universitário
400,Universidade da Beira Interior,Beira Interior,Ensino Superior Público Universitário
501,Universidade de Coimbra - Faculdade de Ciências e Tecnologia,Coimbra,Ensino Superior Público Universitário
502,Universidade de Coimbra - Faculdade de Direito,Coimbra,Ensino Superior Público Universitário
503,Universidade de Coimbra - Faculdade de Economia,Coimbra,Ensino Superior Público Universitário
504,Universidade de Coimbra - Faculdade de Farmácia,Coimbra,Ensino Superior Público Universitário
505,Universidade de Coimbra - Faculdade de Letras,Coimbra,Ensino Superior Público Universitário
506,Universidade de Coimbra - Faculdade de Medicina,Coimbra,Ensino Superior Público Universitário
507,Universidade de Coimbra - Faculdade de Psicologia e de Ciências da Educação,Coimbra,Ensino Superior Público Universitário
508,Universidade de Coimbra - Faculdade de Ciências do Desporto e Educação Física,Coimbra,Ensino Superior Público Universitário
602,Universidade de Évora - Escola de Ciências e Tecnologia,Évora,Ensino Superior Público Universitário
603,Universidade de Évora - Escola de Artes,Évora,Ensino Superior Público Universitário
604,Universidade de Évora - Escola de Ciências Sociais,Évora,Ensino Superior Público Universitário
605,Universidade de Évora - Escola de Saúde e Desenvolvimento Humano,Évora,Ensino Superior Público Universitário
901,Universidade Nova de Lisboa - Faculdade de Ciências Médicas,Lisboa,Ensino Superior Público Universitário
902,Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas,Lisboa,Ensino Superior Público Universitário
903,Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia,Setúbal,Ensino Superior Público Universitário
904,Universidade Nova de Lisboa - Faculdade de Economia,Lisboa,Ensino Superior Público Universitário
906,Universidade Nova de Lisboa - Instituto Superior de Estatística e Gestão de Informação,Lisboa,Ensino Superior Público Universitário
911,Universidade Nova de Lisboa - Faculdade de Direito,Lisboa,Ensino Superior Público Universitário
1000,Universidade do Minho,Braga,Ensino Superior Público Universitário
1101,Universidade do Porto - Faculdade de Ciências da Nutrição e da Alimentação,Porto,Ensino Superior Público Universitário
1102,Universidade do Porto - Faculdade de Arquitetura,Porto,Ensino Superior Público Universitário
1103,Universidade do Porto - Faculdade de Ciências,Porto,Ensino Superior Público Universitário
1104,Universidade do Porto - Faculdade de Economia,Porto,Ensino Superior Público Universitário
1105,Universidade do Porto - Faculdade de Engenharia,Porto,Ensino Superior Público Universitário
1106,Universidade do Porto - Faculdade de Farmácia,Porto,Ensino Superior Público Universitário
1107,Universidade do Porto - Faculdade de Letras,Porto,Ensino Superior Público Universitário
1108,Universidade do Porto - Faculdade de Medicina,Porto,Ensino Superior Público Universitário
1109,Universidade do Porto - Faculdade de Psicologia e de Ciências da Educação,Porto,Ensino Superior Público Universitário
1110,Universidade do Porto - Instituto de Ciências Biomédicas Abel Salazar,Porto,Ensino Superior Público Universitário
1111,Universidade do Porto - Faculdade de Desporto,Porto,Ensino Superior Público Universitário
1113,Universidade do Porto - Faculdade de Medicina Dentária,Porto,Ensino Superior Público Universitário
1114,Universidade do Porto - Faculdade de Direito,Porto,Ensino Superior Público Universitário
1201,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Agrárias e Veterinárias,Vila Real,Ensino Superior Público Universitário
1202,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências Humanas e Sociais,Vila Real,Ensino Superior Público Universitário
1203,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências e Tecnologia,Vila Real,Ensino Superior Público Universitário
1204,Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente,Vila Real,Ensino Superior Público Universitário
1306,Universidade da Madeira - Faculdade de Artes e Humanidades,Madeira,Ensino Superior Público Universitário
1307,Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia,Madeira,Ensino Superior Público Universitário
1308,Universidade da Madeira - Faculdade de Ciências Sociais,Madeira,Ensino Superior Público Universitário
1309,Universidade da Madeira - Faculdade de Ciências da Vida,Madeira,Ensino Superior Público Universitário
1320,Universidade da Madeira - Escola Superior de Saúde,Madeira,Ensino Superior Público Universitário
1321,Universidade da Madeira - Escola Superior de Tecnologias e Gestão,Madeira,Ensino Superior Público Universitário
1501,Universidade de Lisboa - Faculdade de Arquitetura,Lisboa,Ensino Superior Público Universitário
1502,Universidade de Lisboa - Faculdade de Belas-Artes,Lisboa,Ensino Superior Público Universitário
1503,Universidade de Lisboa - Faculdade de Ciências,Lisboa,Ensino Superior Público Universitário
1504,Universidade de Lisboa - Faculdade de Direito,Lisboa,Ensino Superior Público Universitário
1505,Universidade de Lisboa - Faculdade de Farmácia,Lisboa,Ensino Superior Público Universitário
1506,Universidade de Lisboa - Faculdade de Letras,Lisboa,Ensino Superior Público Universitário
1507,Universidade de Lisboa - Faculdade de Medicina,Lisboa,Ensino Superior Público Universitário
1508,Universidade de Lisboa - Faculdade de Medicina Dentária,Lisboa,Ensino Superior Público Universitário
1509,Universidade de Lisboa - Faculdade de Medicina Veterinária,Lisboa,Ensino Superior Público Universitário
1510,Universidade de Lisboa - Faculdade de Motricidade Humana,Lisboa,Ensino Superior Público Universitário
1511,Universidade de Lisboa - Faculdade de Psicologia,Lisboa,Ensino Superior Público Universitário
1513,Universidade de Lisboa - Instituto de Educação,Lisboa,Ensino Superior Público Universitário
1514,Universidade de Lisboa - Instituto de Geografia e Ordenamento do Território,Lisboa,Ensino Superior Público Universitário
1515,Universidade de Lisboa - Instituto Superior de Agronomia,Lisboa,Ensino Superior Público Universitário
1516,Universidade de Lisboa - Instituto Superior de Ciências Sociais e Políticas,Lisboa,Ensino Superior Público Universitário
1517,Universidade de Lisboa - Instituto Superior de Economia e Gestão,Lisboa,Ensino Superior Público Universitário
1518,Universidade de Lisboa - Instituto Superior Técnico,Lisboa,Ensino Superior Público Universitário
1519,Universidade de Lisboa - Instituto Superior Técnico (Tagus Park),Lisboa,Ensino Superior Público Universitário
3011,Universidade de Aveiro - Instituto Superior de Contabilidade e Administração de Aveiro,Aveiro,Ensino Superior Público Universitário
3012,Universidade de Aveiro - Escola Superior de Tecnologia e Gestão de Águeda,Aveiro,Ensino Superior Público Universitário
3013,Universidade de Aveiro - Escola Superior de Saúde de Aveiro,Aveiro,Ensino Superior Público Universitário
3014,Universidade de Aveiro - Escola Superior de Design Gestão e Tecnologia da Produção de Aveiro-Norte,Aveiro,Ensino Superior Público Universitário
3021,Instituto Politécnico de Beja - Escola Superior Agrária,Beja,Ensino Superior Público Politécnico
3022,Instituto Politécnico de Beja - Escola Superior de Educação,Beja,Ensino Superior Público Politécnico
3023,Instituto Politécnico de Beja - Escola Superior de Tecnologia e de Gestão,Beja,Ensino Superior Público Politécnico
3031,Instituto Politécnico do Cávado e do Ave - Escola Superior de Gestão,Braga,Ensino Superior Público Politécnico
3032,Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia,Braga,Ensino Superior Público Politécnico
3033,Instituto Politécnico do Cávado e do Ave - Escola Superior de Design,Braga,Ensino Superior Público Politécnico
3034,Instituto Politécnico do Cávado e do Ave - Escola Superior de Hotelaria e Turismo,Braga,Ensino Superior Público Politécnico
3041,Instituto Politécnico de Bragança - Escola Superior Agrária de Bragança,Bragança,Ensino Superior Público Politécnico
3042,Instituto Politécnico de Bragança - Escola Superior de Educação de Bragança,Bragança,Ensino Superior Público Politécnico
3043,Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança,Bragança,Ensino Superior Público Politécnico
3045,Instituto Politécnico de Bragança - Escola Superior de Comunicação Administração e Turismo de Mirandela,Bragança,Ensino Superior Público Politécnico
3051,Instituto Politécnico de Castelo Branco - Escola Superior Agrária de Castelo Branco,Castelo Branco,Ensino Superior Público Politécnico
3052,Instituto Politécnico de Castelo Branco - Escola Superior de Educação de Castelo Branco,Castelo Branco,Ensino Superior Público Politécnico
3053,Instituto Politécnico de Castelo Branco - Escola Superior de Tecnologia de Castelo Branco,Castelo Branco,Ensino Superior Público Politécnico
3054,Instituto Politécnico de Castelo Branco - Escola Superior de Gestão de Idanha-a-Nova,Castelo Branco,Ensino Superior Público Politécnico
3055,Instituto Politécnico de Castelo Branco - Escola Superior de Artes Aplicadas,Castelo Branco,Ensino Superior Público Politécnico
3061,Instituto Politécnico de Coimbra - Escola Superior Agrária de Coimbra,Coimbra,Ensino Superior Público Politécnico
3062,Instituto Politécnico de Coimbra - Escola Superior de Educação de Coimbra,Coimbra,Ensino Superior Público Politécnico
3063,Instituto Politécnico de Coimbra - Instituto Superior de Contabilidade e Administração de Coimbra,Coimbra,Ensino Superior Público Politécnico
3064,Instituto Politécnico de Coimbra - Instituto Superior de Engenharia de Coimbra,Coimbra,Ensino Superior Público Politécnico
3065,Instituto Politécnico de Coimbra - Escola Superior de Tecnologia e Gestão de Oliveira do Hospital,Coimbra,Ensino Superior Público Politécnico
3081,Universidade do Algarve - Escola Superior de Educação e Comunicação,Algarve,Ensino Superior Público Universitário
3082,Universidade do Algarve - Escola Superior de Gestão Hotelaria e Turismo,Algarve,Ensino Superior Público Universitário
3083,Universidade do Algarve - Instituto Superior de Engenharia,Algarve,Ensino Superior Público Universitário
3087,Universidade do Algarve - Escola Superior de Gestão Hotelaria e Turismo (Portimão),Algarve,Ensino Superior Público Universitário
3091,Instituto Politécnico da Guarda - Escola Superior de Educação Comunicação e Desporto,Guarda,Ensino Superior Público Politécnico
3092,Instituto Politécnico da Guarda - Escola Superior de Tecnologia e Gestão,Guarda,Ensino Superior Público Politécnico
3095,Instituto Politécnico da Guarda - Escola Superior de Turismo e Hotelaria,Guarda,Ensino Superior Público Politécnico
3101,Instituto Politécnico de Leiria - Escola Superior de Educação e Ciências Sociais,Leiria,Ensino Superior Público Politécnico
3102,Instituto Politécnico de Leiria - Escola Superior de Tecnologia e Gestão,Leiria,Ensino Superior Público Politécnico
3103,Instituto Politécnico de Leiria - Escola Superior de Artes e Design,Leiria,Ensino Superior Público Politécnico
3105,Instituto Politécnico de Leiria - Escola Superior de Turismo e Tecnologia do Mar,Leiria,Ensino Superior Público Politécnico
3112,Instituto Politécnico de Lisboa - Escola Superior de Educação,Lisboa,Ensino Superior Público Politécnico
3113,Instituto Politécnico de Lisboa - Escola Superior de Comunicação Social,Lisboa,Ensino Superior Público Politécnico
3117,Instituto Politécnico de Lisboa - Instituto Superior de Contabilidade e Administração de Lisboa,Lisboa,Ensino Superior Público Politécnico
3118,Instituto Politécnico de Lisboa - Instituto Superior de Engenharia de Lisboa,Lisboa,Ensino Superior Público Politécnico
3121,Instituto Politécnico de Portalegre - Escola Superior de Educação e Ciências Sociais,Portalegre,Ensino Superior Público Politécnico
3122,Instituto Politécnico de Portalegre - Escola Superior de Tecnologia e Gestão,Portalegre,Ensino Superior Público Politécnico
3123,Instituto Politécnico de Portalegre - Escola Superior Agrária de Elvas,Portalegre,Ensino Superior Público Politécnico
3131,Instituto Politécnico do Porto - Escola Superior de Educação,Porto,Ensino Superior Público Politécnico
3134,Instituto Politécnico do Porto - Instituto Superior de Contabilidade e Administração do Porto,Porto,Ensino Superior Público Politécnico
3135,Instituto Politécnico do Porto - Instituto Superior de Engenharia do Porto,Porto,Ensino Superior Público Politécnico
3138,Instituto Politécnico do Porto - Escola Superior de Tecnologia e Gestão,Porto,Ensino Superior Público Politécnico
3139,Instituto Politécnico do Porto - Escola Superior de Hotelaria e Turismo,Porto,Ensino Superior Público Politécnico
3141,Instituto Politécnico de Santarém - Escola Superior Agrária de Santarém,Santarém,Ensino Superior Público Politécnico
3142,Instituto Politécnico de Santarém - Escola Superior de Educação de Santarém,Santarém,Ensino Superior Público Politécnico
3143,Instituto Politécnico de Santarém - Escola Superior de Gestão e Tecnologia de Santarém,Santarém,Ensino Superior Público Politécnico
3145,Instituto Politécnico de Santarém - Escola Superior de Desporto de Rio Maior,Santarém,Ensino Superior Público Politécnico
3151,Instituto Politécnico de Setúbal - Escola Superior de Educação,Setúbal,Ensino Superior Público Politécnico
3152,Instituto Politécnico de Setúbal - Escola Superior de Tecnologia de Setúbal,Setúbal,Ensino Superior Público Politécnico
3153,Instituto Politécnico de Setúbal - Escola Superior de Ciências Empresariais,Setúbal,Ensino Superior Público Politécnico
3154,Instituto Politécnico de Setúbal - Escola Superior de Tecnologia do Barreiro,Setúbal,Ensino Superior Público Politécnico
3155,Instituto Politécnico de Setúbal - Escola Superior de Saúde,Setúbal,Ensino Superior Público Politécnico
